SampleID	Speaker
sample1	spkr1
sample2	spkr1
sample3	spkr1
sample4	spkr1
sample5	spkr1
sample6	spkr1
sample7	spkr1
sample8	spkr1
sample9	spkr1
sample10	spkr1
sample11	spkr2
sample12	spkr2
sample13	spkr2
sample14	spkr2
sample15	spkr2
sample16	spkr2
sample17	spkr2
sample18	spkr2
sample19	spkr2
sample20	spkr2
sample21	spkr3
sample22	spkr3
sample23	spkr3
sample24	spkr3
sample25	spkr3
sample26	spkr3
sample27	spkr3
sample28	spkr3
sample29	spkr3
sample30	spkr3
sample31	spkr4
sample32	spkr4
sample33	spkr4
sample34	spkr4
sample35	spkr4
sample36	spkr4
sample37	spkr4
sample38	spkr4
sample39	spkr4
sample40	spkr4
sample41	spkr5
sample42	spkr5
sample43	spkr5
sample44	spkr5
sample45	spkr5
sample46	spkr5
sample47	spkr5
sample48	spkr5
sample49	spkr5
sample50	spkr5
sample51	spkr6
sample52	spkr6
sample53	spkr6
sample54	spkr6
sample55	spkr6
sample56	spkr6
sample57	spkr6
sample58	spkr6
sample59	spkr6
sample60	spkr6
sample61	spkr7
sample62	spkr7
sample63	spkr7
sample64	spkr7
sample65	spkr7
sample66	spkr7
sample67	spkr7
sample68	spkr7
sample69	spkr7
sample70	spkr7
sample71	spkr8
sample72	spkr8
sample73	spkr8
sample74	spkr8
sample75	spkr8
sample76	spkr8
sample77	spkr8
sample78	spkr8
sample79	spkr8
sample80	spkr8
sample81	spkr9
sample82	spkr9
sample83	spkr9
sample84	spkr9
sample85	spkr9
sample86	spkr9
sample87	spkr9
sample88	spkr9
sample89	spkr9
sample90	spkr9
sample91	spkr10
sample92	spkr10
sample93	spkr10
sample94	spkr10
sample95	spkr10
sample96	spkr10
sample97	spkr10
sample98	spkr10
sample99	spkr10
sample100	spkr10
sample101	spkr11
sample102	spkr11
sample103	spkr11
sample104	spkr11
sample105	spkr11
sample106	spkr11
sample107	spkr11
sample108	spkr11
sample109	spkr11
sample110	spkr11
sample111	spkr12
sample112	spkr12
sample113	spkr12
sample114	spkr12
sample115	spkr12
sample116	spkr12
sample117	spkr12
sample118	spkr12
sample119	spkr12
sample120	spkr12
sample121	spkr13
sample122	spkr13
sample123	spkr13
sample124	spkr13
sample125	spkr13
sample126	spkr13
sample127	spkr13
sample128	spkr13
sample129	spkr13
sample130	spkr13
sample131	spkr14
sample132	spkr14
sample133	spkr14
sample134	spkr14
sample135	spkr14
sample136	spkr14
sample137	spkr14
sample138	spkr14
sample139	spkr14
sample140	spkr14
sample141	spkr15
sample142	spkr15
sample143	spkr15
sample144	spkr15
sample145	spkr15
sample146	spkr15
sample147	spkr15
sample148	spkr15
sample149	spkr15
sample150	spkr15
sample151	spkr16
sample152	spkr16
sample153	spkr16
sample154	spkr16
sample155	spkr16
sample156	spkr16
sample157	spkr16
sample158	spkr16
sample159	spkr16
sample160	spkr16
sample161	spkr17
sample162	spkr17
sample163	spkr17
sample164	spkr17
sample165	spkr17
sample166	spkr17
sample167	spkr17
sample168	spkr17
sample169	spkr17
sample170	spkr17
sample171	spkr18
sample172	spkr18
sample173	spkr18
sample174	spkr18
sample175	spkr18
sample176	spkr18
sample177	spkr18
sample178	spkr18
sample179	spkr18
sample180	spkr18
sample181	spkr19
sample182	spkr19
sample183	spkr19
sample184	spkr19
sample185	spkr19
sample186	spkr19
sample187	spkr19
sample188	spkr19
sample189	spkr19
sample190	spkr19
sample191	spkr20
sample192	spkr20
sample193	spkr20
sample194	spkr20
sample195	spkr20
sample196	spkr20
sample197	spkr20
